ID-RF,MoSCoW,Kano,Valor de negocio,Urgencia,Reduccion de riesgo u oportunidad,Tamano del esfuerzo,WSJF,Ranking
RF-26,Must have,Basico,9,9,8,4,6.5,1
RF-08,Must have,De desempeno,8,8,9,4,6.3,2
RF-13,Should have,De desempeno,6,6,7,3,6.3,2
RF-02,Should have,Basico,7,6,5,3,6.0,4
RF-22,Must have regulatorio,Basico,10,10,10,5,6.0,4
RF-37,Must have regulatorio,Basico,10,10,10,5,6.0,4
RF-18,Should have,Basico,9,9,10,5,5.6,7
RF-24,Must have regulatorio,Basico,9,9,10,5,5.6,7
RF-38,Should have regulatorio,Basico,9,9,10,5,5.6,7
RF-30,Should have,De desempeno,7,7,7,4,5.3,10
RF-01,Must have,Basico,9,9,8,5,5.2,11
RF-04,Must have,De desempeno,9,9,8,5,5.2,11
RF-36,Should have regulatorio,Basico,8,8,10,5,5.2,11
RF-09,Must have,Basico,10,10,10,6,5.0,14
RF-27,Should have,De desempeno,7,7,6,4,5.0,14
RF-39,Should have regulatorio,De desempeno,8,8,9,5,5.0,14
RF-05,Must have,De desempeno,9,8,7,5,4.8,17
RF-06,Must have,De desempeno,10,9,8,6,4.5,18
RF-07,Must have,Basico,9,9,9,6,4.5,18
RF-21,Should have,De desempeno,7,7,8,5,4.4,20
RF-03,Must have,Basico,9,9,8,6,4.3,21
RF-20,Must have,Basico,10,10,10,7,4.3,21
RF-23,Must have regulatorio,Basico,9,9,10,7,4.0,23
RF-25,Should have regulatorio,De desempeno,8,7,9,6,4.0,23
RF-34,Must have,Basico,8,8,8,6,4.0,23
RF-14,Should have,De desempeno,9,8,10,7,3.9,26
RF-19,Must have,De desempeno,10,9,8,7,3.9,26
RF-29,Should have,De desempeno,8,7,8,6,3.8,28
RF-11,Must have,Basico,9,9,8,7,3.7,29
RF-28,Could have,Atractivo,4,3,4,3,3.7,29
RF-12,Should have,Atractivo,6,5,5,5,3.2,31
RF-16,Could have,Atractivo,5,5,6,5,3.2,31
RF-33,Should have,Atractivo,6,5,8,6,3.2,31
RF-35,Could have,Atractivo,5,4,7,5,3.2,31
RF-31,Could have,Atractivo,6,5,8,7,2.7,35
RF-15,Could have,Atractivo,5,4,4,6,2.2,36
RF-10,Could have,Atractivo,6,4,7,9,1.9,37
RF-17,Could have,Atractivo,5,4,6,8,1.9,37
RF-32,Wont have,Indiferente,3,2,3,8,1.0,39
