Marca temporal,Rol dentro de la actividad agrícola ,  Rango de edad  ,  Años de experiencia en la actividad agrícola  ,  ¿Cómo lleva actualmente el control de sus cultivos y cosechas?  ,"  ¿Cómo controla su inventario de insumos (semillas, fertilizantes, herramientas)?   ","  Del 1 al 5, ¿qué tan organizado considera su proceso actual de registro?  ",  ¿Cuáles son las principales dificultades al momento de registrar o consultar información de sus cultivos?  ,  ¿Qué información necesita registrar con mayor frecuencia?  ,  ¿Necesita llevar control de gastos e ingresos por cultivo?   
2026-07-27 21:22:14.137,Productor,18-30,1 - 2 años,cuaderno físico,Si,5,Verificar el producto ,fechas de siembra,Si
2026-07-27 21:25:54.718,Otro,18-30,1 - 2 años,no lleva registro,No ,1,No tengo conociemiento,otro,Si
2026-07-27 21:39:26.097,Agricultor,31-45,1 - 2 años,no lleva registro,Por ectaea ,4,No hacer bien algo ,fechas de cosecha,Si
2026-07-27 21:41:43.463,Agricultor,31-45,1 - 2 años,cuaderno físico,Por medidas ,4,No tener conocimiento ,fechas de siembra,Si
2026-07-27 21:43:52.622,Otro,18-30,1 - 2 años,app o sistema,Teniendo un registro de cuando se usa y la cantidad empleada,4,Que no esté muy organizado ,plagas o enfermedades,Si
2026-07-27 21:52:23.303,Agricultor,18-30,3 - 5 años,no lleva registro,cuaderno ,2,a veces pierdo el registro en papel,costos,Si
2026-07-27 21:52:43.601,Agricultor,18-30,10 - 20 años,no lleva registro,Semillas ,3,No anoto nada,fechas de siembra,Si
2026-07-27 21:52:46.293,Otro,18-30,1 - 2 años,cuaderno físico,Semillas ,3,"La perdida de información, por lo que es manual todo.",otro,Si
2026-07-27 21:53:58.829,Trabajador de campo,18-30,1 - 2 años,no lleva registro,Con todo,2,"Muchas, hojas sueltas",fechas de cosecha,Si
2026-07-27 21:57:07.671,Otro,18-30,3 - 5 años,cuaderno físico,Por fertilizantes,3,Pues se diria la poca informacion que ay sobre estos ya que no sabemos si la misma produccion que da en parte sierra pueda dar en la costa.,uso de fertilizantes / pesticidas,Si
2026-07-27 21:59:06.093,Agricultor,18-30,1 - 2 años,no lleva registro,De forma escrita y a veces mental,2,Pues hay veces que se me pierden los registros o no recuerdo la información ,fechas de cosecha,Si
2026-07-27 21:59:41.225,Trabajador de campo,18-30,1 - 2 años,cuaderno físico,notas en cuaderno,3,saber donde realice las notas ,fechas de siembra,Si
2026-07-27 22:00:39.282,Otro,18-30,1 - 2 años,otro,Bien,1,Muchas ,fechas de siembra,Si
2026-07-27 22:11:06.235,Administrador de finca,18-30,1 - 2 años,app o sistema,Vendiendo,4,La paja,costos,Si
2026-07-27 22:12:15.298,Trabajador de campo,18-30,1 - 2 años,otro,No sé ,5,No sé ,plagas o enfermedades,Si
2026-07-27 22:14:30.294,Agricultor,18-30,1 - 2 años,cuaderno físico,Semillas,5,Invierno,fechas de siembra,Si
2026-07-27 22:14:35.737,Otro,18-30,1 - 2 años,cuaderno físico,En cuaderno ,2,No sé encuentra rápido la información deseada ,fechas de siembra,Si
2026-07-27 22:16:45.973,Trabajador de campo,18-30,1 - 2 años,no lleva registro,No ,2,Ni,clima,Si
2026-07-27 22:17:19.724,Agricultor,18-30,3 - 5 años,Excel,Mantenimiento un buen uso,2,El Internet,uso de fertilizantes / pesticidas,Si
2026-07-27 22:30:01.092,Agricultor,18-30,1 - 2 años,no lleva registro,A través de un registro manual en un cuaderno anotando las entradas y salidas de insumos a medida que se adquieren o utilizan,2,"la pérdida de datos por usar papel, la falta de señal de internet en el campo y no contar con un sistema centralizado para organizar las cosechas e insumos",fechas de siembra,Si
2026-07-27 22:32:46.198,Agricultor,18-30,3 - 5 años,cuaderno físico,Anoto las compras y el uso de insumos en una libreta,1,El uso de cuadernos o papel provoca pérdida y desorden en el historial de datos,fechas de siembra,Si
