criterio;bloque;articulo;cubierto_convencional;cubierto_legalfirst;requisitos_cubre
C1;LOPDP;Art.4,12(8);0;1;RF-22
C2;LOPDP;Art.4,34-35;0;1;RF-22
C3;LOPDP;Art.10(d);0;1;RF-22
C4;LOPDP;Art.8;0;1;RF-23
C5;LOPDP;Art.12(5);0;1;RF-22
C6;LOPDP;Art.37,41;0;1;RNF-08/RNF-09
C7;LOPDP;Art.10(i);0;1;RF-23
C8;LOPDP;Art.33,36;0;1;RF-23
C9;LOPDP;Art.43,46;0;1;RF-23
C10;LOPDP;Art.13-19;0;1;RF-23
C11;LOPDP;Art.48;0;0;-
C12;LOPDP;Art.34-35;0;1;RF-22
C13;LOPDP;Art.47;0;1;RNF-08
C14;BPA;Art.3 Res183;1;1;RF-03
C15;BPA;Art.36 Res183;1;1;RF-14
C16;BPA;Art.38 Res183;1;1;RF-18
C17;BPA;Art.31-34 Res183;0;1;RF-24
C18;BPA;Art.27 Res183;1;1;RF-19
C19;BPA;Art.29 Res183;1;1;RF-19
C20;BPA;Art.39-43 Res183;0;1;RF-25
C21;Bioseguridad;Art.8 Res183;1;1;RF-35
C22;Bioseguridad;Art.18(g) Res183;1;1;RF-18
C23;Bioseguridad;Art.18(e) Res183;0;1;RF-36
C24;Bioseguridad;Art.3.6.1(a) Res0072;0;1;RF-37
C25;Bioseguridad;Art.3.6.1(d) Res0072;0;1;RF-38
C26;Bioseguridad;Art.3.6.1(f)(g) Res0072;0;1;RF-39
