criterio;bloque;conv_A;conv_B;conv_match;lf_A;lf_B;lf_match
C1;LOPDP;0;0;1;1;1;1
C2;LOPDP;0;0;1;1;1;1
C3;LOPDP;0;0;1;1;1;1
C4;LOPDP;0;0;1;1;1;1
C5;LOPDP;0;0;1;1;1;1
C6;LOPDP;0;0;1;1;1;1
C7;LOPDP;0;0;1;1;1;1
C8;LOPDP;0;0;1;1;1;1
C9;LOPDP;0;0;1;1;1;1
C10;LOPDP;0;0;1;1;1;1
C11;LOPDP;0;0;1;0;0;1
C12;LOPDP;0;0;1;1;1;1
C13;LOPDP;0;0;1;1;1;1
C14;BPA;1;1;1;1;1;1
C15;BPA;1;1;1;1;1;1
C16;BPA;1;1;1;1;1;1
C17;BPA;0;0;1;1;1;1
C18;BPA;1;1;1;1;1;1
C19;BPA;1;1;1;1;1;1
C20;BPA;0;0;1;1;1;1
C21;Bioseguridad;1;1;1;1;1;1
C22;Bioseguridad;1;1;1;1;1;1
C23;Bioseguridad;0;0;1;1;1;1
C24;Bioseguridad;0;0;1;1;1;1
C25;Bioseguridad;0;0;1;1;1;1
C26;Bioseguridad;0;0;1;1;1;1
