nombre_archivo,fecha_captura_exif,dispositivo,hash_sha256
02_Evidencias\Fotos_Entorno\2026-06-29_area_cultivos.jpg,,,0158af4561169aa4478f9587cdccf2c1b8abd3b76dec16a9affca11ea7ffc63e
02_Evidencias\Fotos_Entorno\2026-07-01_cultivos_de_verde_y_cacao.jpg,,,306988a5bd7c536cff9ee0aab664e6ddfd10f72f44038d7d5eb51d8753bf5bb8
02_Evidencias\Fotos_Entorno\2026-07-01_cultivos_de_verde_y_cacao2.jpg,,,f44e9fe1e438cae2122e66fa35b41df367fbd2112d7e3d59bb06086491d9834f
02_Evidencias\Fotos_Entorno\2026-07-03_cosecha_de_cacao.jpg,,,de60bb6b273b1063e04b4d6eb0f72d602d028b8ddd35242daef1e9d0543aa31f
02_Evidencias\Fotos_Entorno\2026-07-09_fumigacion_de_area.jpg,,,cdefc85d47fa92d73d5bdb2b43c49279ba9a16a47b10524daadfc6a90671439e
02_Evidencias\Fotos_Entorno\2026-07-10_parcela_cacao_01.png,,,06001fc24a0b89db7bb467f8615f88002b5e4747de4e8317622fb2d90e37ef3d
02_Evidencias\Fotos_Entorno\2026-07-10_parcela_verde_01.jpg,,,453a099698cb9fd73b0069dd3320881736ef086a9f2d81f1cc0cc57bbf86c781
02_Evidencias\Fotos_Entorno\2026-07-11_aplicacion_fertilizante.png,,,ba189138c58554f2cb96476f1d6073c92e5cdec85eeba1627f08f4ba8e2a80f2
02_Evidencias\Fotos_Entorno\2026-07-11_plantas_de_cacao_en_crecimiento.jpg,,,7868e6e8c57f21e3fbb492855bca2d640891b7423d926d2fffb00fc84b7dc098
02_Evidencias\Fotos_Entorno\2026-07-11_revision_cultivos.png,,,119c69829f3d74b515cdb71ea9a06dfa52b4cbaf6fa46fbecde519a208d52715
02_Evidencias\Fotos_Entorno\2026-07-12_control_plagas.png,,,382efecae2763d238ffe3d95711dfbad3765def1b6d75c4a0ed48e666e142964
02_Evidencias\Fotos_Entorno\2026-07-13_elaboracion_de_coronas.jpg,,,8dd5ff72f2c6b165246af7f39d643f9667ca4b2c2b8513169c822b45bde21dae
02_Evidencias\Fotos_Entorno\2026-07-13_parcela_cacao_02.png,,,c96b33467f8533612aea502e79c2b3a0c694d91b31bb39d186c02f8355c9ac05
02_Evidencias\Fotos_Entorno\2026-07-15_crecimiento_del_verde.jpg,,,fbe5421870baf486a5779cebbe4029fc93fd6fbdef3180c2a67b839dbd8a0def
02_Evidencias\Fotos_Entorno\2026-07-15_proceso_de_siembra_de_verde.jpg,,,978fff5952fedc31e0a7268cd68b3e1ac5daee721dbbf09eeaab1759499883e2
02_Evidencias\Fotos_Entorno\2026-07-16_fumigacion.jpg,,,b743729b96e9d26bc2eeb804aac49b193215d924b78aeca92ab5992a3f68b8e5
02_Evidencias\Fotos_Entorno\2026-07-25_plantas_de_cacao.jpg,,,32bcca64b58c8bd14000813ed69be602da932400aaf6c5ea19b5c490ee540ecd
