nombre_archivo,tipo,fecha,codigo_participante,duracion,codec,tamano_bytes,hash_SHA256
2026-06-20_Administrador_ENTR-01_Audio.mpeg,audio,2026-06-20,ENTR-01,641,mp3,15381985,0C807508ED66F2354A89EA34BA3C20B6C6CDFE4F08B5031F85600D926DA97D5B
2026-06-21_Jornalero_ENTR-02_Audio.mpeg,audio,2026-06-21,ENTR-02,172,mp3,4129061,1F35517F6008E7E3367F7753D806563C13C54AA064EB5A701D0E2E77AC2122BB
2026-06-23_Jornalera_ENTR-03_Audio.mp3,audio,2026-06-23,ENTR-03,676,mp3,10811904,699A566AC37AE5D3D0E6553A328E0F2C2BF8EB9A566ABD4686A8D6ADB8BA4932
2026-06-23_Jornalera_ENTR-03_Entrevista.mp4,video,2026-06-23,ENTR-03,676,h264,22015545,380E46AA85071028A85454A46993F4D54CA6BC3FD2E4B72F6A2B2CADECA7AE26
2026-06-24_Trabajador_ENTR-04_Audio.mp3,audio,2026-06-24,ENTR-04,918,mp3,14691840,9197EB06863AED6681982A61D4CEA241BD07EC4EE1421E3CF413F32308567E6A
2026-06-24_Trabajador_ENTR-04_Entrevista.mp4,video,2026-06-24,ENTR-04,918,h264,22366088,1AB4A833FBF1BD061364E8C864DE639DF05199E391C3F5D4C7A36C438CE4972B
2026-06-25_Tecnico_ENTR-05_Audio.mp3,audio,2026-06-25,ENTR-05,1060,mp3,16963200,DDD576A5404F811DF70FA16E243FD17EDDF2DF6AFA2CF57B4AF861F65D92D836
2026-06-25_Tecnico_ENTR-05_Entrevista.mp4,video,2026-06-25,ENTR-05,1060,h264,21698570,41BFB5A479276D64CBA1277269299587FD438995E52486AC0F9608E5D2B67D78
2026-06-26_Tecnico_ENTR-06_Audio.mp3,audio,2026-06-26,ENTR-06,705,mp3,11277696,6AC285AE710CC4421EDE1DCDFCB14837AE1DEBB0530F6F424A02C049ECFDCBF8
2026-06-26_Tecnico_ENTR-06_Entrevista.mp4,video,2026-06-26,ENTR-06,705,h264,21607926,DBC01042B2C41A9B17B8302F2B3B557A6792339810CEAB32D01D0B60D9B47E77
2026-08-29_Tecnico_ENTR-07_Audio_ronda2.mp3,audio,2026-08-29,ENTR-07,501,mp3,8011392,5F3123141FD95ED657DC3472A61709B2A1793221011DC922BB5DB06D20F74027
2026-08-29_Tecnico_ENTR-07_Entrevista_ronda2.mp4,video,2026-08-29,ENTR-07,501,h264,22744603,D5EC78926D63288ADC36D388A9F348E00EF7802C005A4CEB0CD84464E51C8361
2026-08-29_Jornalera_ENTR-08_Audio_ronda2.mp3,audio,2026-08-29,ENTR-08,521,mp3,8334720,D1D8C9934F534364DFD5D6C4B678F2FEC6C701D2D97D1AD521C517BEF93356FB
2026-08-29_Jornalera_ENTR-08_Entrevista_ronda2.mp4,video,2026-08-29,ENTR-08,521,h264,19383572,14C58CFA0566C3B2E4B5F3C1FE26D474EFB480D074DE3DFA43B1962A20F43ADB
2026-08-29_Jornalero_ENTR-09_Audio_ronda2.mp3,audio,2026-08-29,ENTR-09,658,mp3,10532352,7CCFD0B1C861CE9813514898E547955B29020E7F94AB010BE37A2B5A091245FE
2026-08-29_Jornalero_ENTR-09_Entrevista_ronda2.mp4,video,2026-08-29,ENTR-09,658,h264,23030763,FF1B404770E211718DD92A03D47DC9513D2715B26F58287E9FBBEFCE7D5D35D1
2026-08-23_Tecnico_ENTR-10_Entrevista.mp3,audio,2026-08-23,ENTR-10,2082,mp3,33315978,21A27B1E0E53BDE4673AA0ABDD470E96E57865D9FAF0DE4D8A56B511D7579315
2026-08-23_Tecnico_ENTR-10_Entrevista.mp4,video,2026-08-23,ENTR-10,2082,h264,27637883,BDC7B146B9B614265C1BAA8467CFE3E83FA89D070276D11224D2B668A973E1C9
2026-08-23_Jornalero_ENTR-11_Entrevista.MP3,audio,2026-08-23,ENTR-11,1340,mp3,32169532,FC9A238B41BBBFE65CA7E7053A02936F2CBD6AE01CB19F49DCF560CB18382B21
2026-08-23_Jornalero_ENTR-11_Entrevista.mp4,video,2026-08-23,ENTR-11,1340,h264,26097294,5B1DC85A02DF8D6190842DF046121203237E38B55D5ED8891489B59B6B44DBF5
2026-08-23_Jornalero_ENTR-12_Entrevista.mp3,audio,2026-08-23,ENTR-12,1090,mp3,17447562,27A502D60F91E216C6AC2901FCC5ADCEA10AA1D6D7C89FC849F2544F15D814B5
2026-08-23_Jornalero_ENTR-12_Entrevista.mp4,video,2026-08-23,ENTR-12,1090,h264,24010625,F568B249029B1FAADB43E555718CEC27ADD39020A108AEA26DCF603E4CEA0BD5
2026-08-28_Jornalero_ENTR-13_Entrevista.mp3,audio,2026-08-28,ENTR-13,568,mp3,9089418,3FBD0383D4A6791AC3AB3F326F804CD503B4EF3CBC5BF37D5857E73AD2A03901
2026-08-28_Entrevista_ENTR-13.mp4,video,2026-08-28,ENTR-13,568,h264,20425983,C6F200D4E565340D661DAD721BD55DA87874077D8433B8B5A118597A183EA043
2026-08-28_Jornalero_ENTR-14_Entrevista.mp4,"video (archivo duplicado, guardado por error en carpeta Audios)",2026-08-28,ENTR-14,365,h264,19895711,2DD3BB73E46E6AFB04CFD33E6B058DE6F0F7DDE4009DEDCFD8AF8A1E3B016D8F
2026-08-28_Jornalero_ENTR-15_Entrevista.mp3,audio,2026-08-28,ENTR-15,704,mp3,11270922,EA15E82F9AAD50F1E38343D2A2698574CBDA574DDD9043FD1EA45A734BDBB020
2026-08-28_Entrevista_ENTR-15 (1).mp4,video,2026-08-28,ENTR-15,704,h264,22508621,D1410F345C541C7B934E584D7DC32DFA15648678C6F209E5A987C8CDDD590920
2026-08-29_Tecnica_ENTR-16_Audio_ronda2.mp3,audio,2026-08-29,ENTR-16,781,mp3,12502656,137D7E6A3FF71D09F870B9378EDDF670E7D211F7E2189FA323CC8CF8627B83CC
2026-08-29_Tecnica_ENTR-16_Entrevista_ronda2.mp4,video,2026-08-29,ENTR-16,782,h264,15873793,4D91B6B14DA17AAB66AFAE4E444FA73377DE8796BAAEDC0E151C2B811F64AA6B
2026-08-29_Tecnico_ENTR-17_Audio_ronda.mp3,audio,2026-08-29,ENTR-17,1914,mp3,30628224,851A758A16593727008F8375A78EE40403FFA8DB08D4676CD8297C3665C2E808
2026-08-29_Tecnico_ENTR-17_Entrevista_ronda.mp4,video,2026-08-29,ENTR-17,1914,h264,22397105,F2D46C79DDA88BD4CB4B13CCCD4ECDDCA068200CD1BB1BBE13C0AEBD52E57698
